ID;Solicitante;Departamento;TipoSolicitacao;Descricao;Prioridade;Status;DataSolicitacao;DataConclusao
11111111-1111-1111-1111-111111111111;Rodrigo Ferreira;TI;Material;Solicitação de novos cabos HDMI para as salas de reunião.;Média;Em andamento;2025-10-05T09:00:00Z;
22222222-2222-2222-2222-222222222222;Lucas Prado;Financeiro;Serviço;Pedido de manutenção no sistema de notas fiscais.;Alta;Concluída;2025-09-30T14:00:00Z;2025-10-02T10:30:00Z
33333333-3333-3333-3333-333333333333;Marina Lopes;RH;Melhoria de Processo;Sugestão de automatização do processo de admissão de novos funcionários.;Baixa;Aberta;2025-10-07T08:00:00Z;
44444444-4444-4444-4444-444444444444;Lucas Andrade;Operações;Acesso a Sistema;Solicitação de acesso ao SAP GUI para novo colaborador.;Alta;Pendente;2025-10-06T13:20:00Z;
55555555-5555-5555-5555-555555555555;Fernanda Costa;Compras;Equipamento;Solicitação de notebook para novo estagiário.;Média;Em andamento;2025-10-04T15:40:00Z;

66666666-6666-6666-6666-666666666666;João Pereira;Marketing;Serviço;Ajuste no layout da página institucional.;Baixa;Aberta;2025-10-03T10:15:00Z;
77777777-7777-7777-7777-777777777777;Carla Mendes;TI;Acesso a Sistema;Reativação de usuário bloqueado no AD.;Alta;Concluída;2025-10-01T09:47:00Z;2025-10-01T10:10:00Z
88888888-8888-8888-8888-888888888888;Eduardo Silva;Operações;Material;Requisição de caixas organizadoras para estoque.;Baixa;Pendente;2025-10-08T11:30:00Z;
99999999-9999-9999-9999-999999999999;Sofia Ramos;RH;Serviço;Correção de dados cadastrais de colaborador.;Média;Concluída;2025-09-29T16:00:00Z;2025-09-30T09:20:00Z
10101010-1010-1010-1010-101010101010;Bruno Teixeira;Financeiro;Melhoria de Processo;Sugestão de relatório automatizado de pagamentos.;Baixa;Aberta;2025-10-07T14:00:00Z;

12121212-1212-1212-1212-121212121212;Paula Vieira;Compras;Equipamento;Solicitação de impressora multifuncional para o setor.;Alta;Em andamento;2025-10-05T10:10:00Z;
13131313-1313-1313-1313-131313131313;Renato Dias;TI;Serviço;Instalação de atualização de segurança no servidor interno.;Alta;Em andamento;2025-10-06T08:40:00Z;
14141414-1414-1414-1414-141414141414;Isabela Freitas;Marketing;Material;Pedido de novos cartões de visita.;Baixa;Concluída;2025-10-02T09:00:00Z;2025-10-03T15:20:00Z
15151515-1515-1515-1515-151515151515;Gabriel Rocha;Operações;Acesso a Sistema;Acesso ao sistema de monitoramento de estoque.;Alta;Pendente;2025-10-08T07:30:00Z;
16161616-1616-1616-1616-161616161616;Patrícia Nunes;Financeiro;Serviço;Erro na conciliação bancária automática.;Alta;Em andamento;2025-10-04T13:00:00Z;

17171717-1717-1717-1717-171717171717;Diego Martins;TI;Melhoria de Processo;Proposta de reorganização dos repositórios Git internos.;Baixa;Aberta;2025-10-05T16:10:00Z;
18181818-1818-1818-1818-181818181818;Larissa Souza;RH;Equipamento;Solicitação de headset para trabalho remoto.;Média;Em andamento;2025-10-06T09:25:00Z;
19191919-1919-1919-1919-191919191919;Felipe Almeida;Compras;Serviço;Renovação de contrato com fornecedor.;Alta;Concluída;2025-09-28T11:20:00Z;2025-09-29T08:00:00Z
20202020-2020-2020-2020-202020202020;Juliana Castro;Marketing;Material;Solicitação de banners para evento interno.;Média;Aberta;2025-10-07T12:45:00Z;
21212121-2121-2121-2121-212121212121;Ricardo Santos;Operações;Acesso a Sistema;Necessidade de permissões ampliadas no SAP BTP.;Alta;Pendente;2025-10-08T10:50:00Z;

22222222-2222-2222-2222-222222222221;Thiago Barros;TI;Material;Pedido de cabos de rede categoria 6 para laboratório.;Média;Aberta;2025-10-09T08:30:00Z;
23232323-2323-2323-2323-232323232323;André Carvalho;TI;Material;Requisição de adaptadores USB-C para suporte técnico.;Média;Aberta;2025-10-09T09:10:00Z;
24242424-2424-2424-2424-242424242424;Beatriz Lima;Financeiro;Serviço;Ajuste de regra no sistema de aprovação de despesas.;Alta;Em andamento;2025-10-08T14:00:00Z;
25252525-2525-2525-2525-252525252525;Clara Moreira;RH;Equipamento;Solicitação de cadeira ergonômica para home office.;Média;Pendente;2025-10-07T11:30:00Z;
26262626-2626-2626-2626-262626262626;Daniel Faria;Marketing;Material;Pedido de kits promocionais para ação externa.;Baixa;Aberta;2025-10-09T10:00:00Z;
27272727-2727-2727-2727-272727272727;Elaine Santos;Compras;Serviço;Atualização cadastral de fornecedor no sistema interno.;Média;Concluída;2025-10-01T09:00:00Z;2025-10-01T11:20:00Z

28282828-2828-2828-2828-282828282828;Felipe Torres;TI;Acesso a Sistema;Criação de usuário para ambiente de testes SAP.;Alta;Em andamento;2025-10-08T15:40:00Z;
29292929-2929-2929-2929-292929292929;Giovana Reis;Operações;Melhoria de Processo;Proposta de reorganização do fluxo de expedição.;Baixa;Aberta;2025-10-06T16:10:00Z;
30303030-3030-3030-3030-303030303030;Hugo Batista;Financeiro;Material;Pedido de toner para impressora de alto volume.;Baixa;Pendente;2025-10-05T09:50:00Z;
31313131-3131-3131-3131-313131313131;Ingrid Moraes;RH;Serviço;Correção na geração de contratos de estagiários.;Alta;Em andamento;2025-10-07T08:15:00Z;
32323232-3232-3232-3232-323232323232;Jonas Ribeiro;TI;Equipamento;Requisição de novos monitores ultrawide para desenvolvimento.;Alta;Aberta;2025-10-09T13:40:00Z;

